TCA, EAV , Rate ,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN,MSQ,WTR,TIF,SSA1,SSA2,SSA3,SSA4,
1034,"6,849,432",12.870718,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,,,,,,
1035,,,,,,,,,,,BPRK,,,,,,,,
1035, -   , -   ,532,3,126,,BCHPK,BCHPK,ZNBEN,,NOSHR,,,,,,,,
1036,"6,071,989",11.994697,532,3,126,,BCHPK,WHARB,ZNBEN,,,,,,,,,,
1037, -   , -   ,532,3,126,,BCHPK,,ZNBEN,,,,,,,,,,
1038, -   , -   ,532,3,126,,BCHPK,BCHPK,ZNBEN,ZION,NOSHR,,,,,,,,
1039, -   , -   ,532,3,126,,BCHPK,,ZNBEN,,NOSHR,,,,,,,,
1040, -   , -   ,532,3,126,,BCHPK,BCHPK,ZNBEN,WKGN,NOSHR,,,,,,,,
1041,"367,596",13.816928,532,3,126,,BCHPK,BCHPK,ZNBEN,WKGN,,,,,,,,,
1042,"86,905",13.970138,532,3,126,,BCHPK,BCHPK,ZNBEN,WKGN,NOSHR,,,,,,,,
1043, -   , -   ,532,3,126,,BCHPK,BCHPK,ZNBEN,,BPRK,,,,,,,,
1044,"74,394",12.147907,532,3,126,,BCHPK,WHARB,ZNBEN,,NOSHR,,,,,,,,
1045, -   , -   ,532,3,126,,,WHARB,ZNBEN,ZION,NOSHR,,,,,,,,
1046, -   , -   ,532,3,126,,WHARB,,ZNBEN,ZION,NOSHR,,,,,,,,
1047, -   , -   ,532,3,126,,WHARB,,ZNBEN,ZION,,,,,,,,,
1048,"1,442,642",12.010002,532,3,126,,WDWTH,WHARB,ZNBEN,,,,,,,,,,
1049, -   , -   ,532,3,126,,WDWTH,WHARB,ZNBEN,ZION,,,,,,,,,
1050, -   , -   ,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,,BPRK2,,,,
1051,"9,389,393",12.870718,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,,BPRK6,,,,
1052, -   , -   ,532,3,126,,WKGN,,,WKGN,,,,,BPRK2,,,,
1053, -   , -   ,532,3,126,,WDWTH,WHARB,ZNBEN,ZION,NOSHR,,,,,,,,
1054,"3,966,306",13.023928,532,3,126,,BCHPK,BCHPK,ZNBEN,,NOSHR,,,BCPK1,,,,,
1055, -   , -   ,532,3,126,,BCHPK,BCHPK,ZNBEN,,NOSHR,,,BCPK1,,,,,
1056, -   ,15.057287,532,6,126,,,BCHPK,ZNBEN,,NOSHR,,,,,,,,
1057,"50,490",12.870718,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,,BPRK7,,,,
1058,"44,639",11.994697,532,3,126,,BCHPK,WHARB,ZNBEN,,,,,,BPRK8,,,,
1059,"122,658",12.870718,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,,BPRK5,,,,
1060,"186,231",11.994697,532,3,126,,BCHPK,WHARB,ZNBEN,,,,,,BPRK4,,,,
1061,"151,953",11.994697,532,3,126,,BCHPK,WHARB,ZNBEN,,,,,,BPRK3,,,,
1062, -   , -   ,532,3,126,,BCHPK,BCHPK,ZNBEN,,,,,,BPRK4,,,,
1063, -   , -   ,532,3,126,,,,ZNBEN,ZION,NOSHR,,,,,,,,
1064, -   ,12.95692,532,3,126,,BCHPK,,ZNBEN,ZION,NOSHR,,,,,,,,
1065, -   , -   ,532,3,126,,,,,WKGN,NOSHR,,,,,,,,
1066, -   , -   ,532,3,126,,BCHPK,,,WKGN,NOSHR,,,,,,,,
1067, -   , -   ,532,3,126,,WKGN,BCHPK,,WKGN,,,,,,,,,
1068,"482,999",12.297218,532,1,126,,WHARB,,ZNBEN,,NOSHR,,,WHARB,,,,,
1069, -   , -   ,532,3,126,,WKGN,BCHPK,,WKGN,NOSHR,,,,,,,,
1070,"431,484",14.113936,532,3,126,,BCHPK,BCHPK,ZNBEN,ZION,NOSHR,,,,,,,,
1071, -   ,12.476276,532,3,126,,BCHPK,,,WKGN,NOSHR,,,BCPK4,,,,,
1072, -   ,13.970138,532,3,126,,BCHPK,BCHPK,ZNBEN,WKGN,NOSHR,,,BCPK4,,,,,
1073,"130,453",13.023928,532,3,126,,BCHPK,BCHPK,ZNBEN,,NOSHR,,,BCPK4,,,,,
