Taxyr,Auth,Name,Rate,Class,EAV
2022,110SSA,BARRINGTON SSA #1,0.1,COM,5235044
2022,110SSA,BARRINGTON SSA #1,0.1,RES,319933
2022,112SSA,BARRINGTON SSA #3,0.216496,RES,15232803
2022,149SSA,LAKE COUNTY SSA #8,0.079257,COM,4831760
2022,149SSA,LAKE COUNTY SSA #8,0.079257,FA,441049
2022,149SSA,LAKE COUNTY SSA #8,0.079257,FB,155873
2022,149SSA,LAKE COUNTY SSA #8,0.079257,IND,63083
2022,149SSA,LAKE COUNTY SSA #8,0.079257,O,226380
2022,149SSA,LAKE COUNTY SSA #8,0.079257,RES,57205828
2022,154SSA,LAKE COUNTY SPECIAL SERVICE AREA 16,0.308956,COM,67645818
2022,154SSA,LAKE COUNTY SPECIAL SERVICE AREA 16,0.308956,FA,1236784
2022,154SSA,LAKE COUNTY SPECIAL SERVICE AREA 16,0.308956,FB,173990
2022,154SSA,LAKE COUNTY SPECIAL SERVICE AREA 16,0.308956,IND,9418877
2022,154SSA,LAKE COUNTY SPECIAL SERVICE AREA 16,0.308956,RES,752663327
2022,166SSA,FOX RIVER GROVE SSA - GARDNER TERRACE,0.022241,RES,6940095
2022,167SSA,FOX RIVER GROVE SSA - HUNTERS FARM,0.124944,RES,14774400
2022,168SSA,FOX RIVER GROVE SSA - TALON SUB,0.166053,COM,2770211
2022,184SSA,HAINESVILLE SSA #1,0.093919,COM,2397
2022,184SSA,HAINESVILLE SSA #1,0.093919,RES,26725966
2022,205SSA,HIGHLAND PARK SSA 17,1.787984,COM,5006955
2022,205SSA,HIGHLAND PARK SSA 17,1.787984,RES,26649
2022,206SSA,HIGHLAND PARK SSA #18,0.139855,COM,28298191
2022,206SSA,HIGHLAND PARK SSA #18,0.139855,IND,303051
2022,223SSA,LIBERTYVILLE SSA #1,0.169,RES,12501544
2022,248SSA,LAKE ZURICH SSA #10,0.040684,RES,2452092
2022,253SSA,LAKE ZURICH SSA #16,2.900468,RES,60684
2022,256SSA,LAKE ZURICH SSA #8,0.114671,RES,8812221
2022,257SSA,LAKE ZURICH SSA #9,0.207837,COM,1414454
2022,257SSA,LAKE ZURICH SSA #9,0.207837,RES,4335263
2022,280SSA,METTAWA SSA #7,0.114445,RES,3495136
2022,281SSA,METTAWA SSA #9,0.479984,RES,6030874
2022,282SSA,METTAWA SSA #10,0.378976,RES,611642
2022,283SSA,METTAWA SSA #11,0.433116,RES,611642
2022,285SSA,METTAWA SSA #14,0.086406,RES,2546124
2022,331SSA,METTAWA SSA #3,0.190147,COM,36708443
2022,332SSA,METTAWA SSA #4,0.147208,COM,7365022
2022,333SSA,METTAWA SSA #5,0.014828,COM,6636932
2022,357SSA,RIVERWOODS SSA #5,0.122508,RES,4897653
2022,370SSA,RIVERWOODS SSA #19,0.768636,RES,7804218
2022,393SSA,VOLO SSA #14,4.737925,COM,3174691
2022,393SSA,VOLO SSA #14,4.737925,FA,181226
2022,393SSA,VOLO SSA #14,4.737925,FB,17583
2022,393SSA,VOLO SSA #14,4.737925,RES,140503
2022,412SSA,HIGHLAND PARK SSA #19,0.109019,COM,97589838
2022,412SSA,HIGHLAND PARK SSA #19,0.109019,IND,1206
2022,412SSA,HIGHLAND PARK SSA #19,0.109019,RES,390114
2022,423SSA,DEER PARK SSA#11,0.00564,COM,6038712
