Tax Code, Agg Rate , Agg EAV ,CTY,FOR,TWP,RBT,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN1,SAN2,MSQ,POR,WTR,TIF,TIF,SSA1,SSA2,SSA3,SSA4,SP1,SP2,SP3,SP4,Other,,
01027, 13.582790 ," 1,590 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01028, 12.736756 ," 25,802 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,,,
01029, 12.305108 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01030, 12.146772 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,P20WAK,,,,PORWAK,,,,,,,,B06003,B12126,,,,,
01031, 12.305108 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,P20WAK,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,,,
01032, 11.300738 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,,,
01033, 11.459074 ," 17,490,997 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01034, 11.300738 ," 7,744,292 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,,,
01035, 11.459074 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,(From BP San),,
01036, 10.560715 ," 6,888,251 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,,,
01037, 10.324935 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,,,
01038, 12.461020 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01039, 10.483271 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01040, 12.305108 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01041, 12.146772 ," 481,355 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,,,,PORWAK,,,,,,,,B06003,B12126,,,,,
01042, 12.305108 ," 138,713 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,,,
01043, 11.300738 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,,,
01044, 10.719051 ," 86,379 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01045, 11.720997 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F23WHA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01046, 12.850119 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M54WHA,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01047, 12.691783 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M54WHA,,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,,,
01048, 10.574928 ," 1,448,667 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M50WAD,F23WHA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,,,
01049, 11.576874 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M50WAD,F23WHA,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,,,
01050, 11.300738 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,136SSA,,,,B06003,B12126,,,,,
01051, 11.300738 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,140SSA,,,,B06003,B12126,,,,,
01052, 13.273617 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,P20WAK,,,,,,,,136SSA,,,,B06003,B12126,,,,,
01053, 11.735210 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M50WAD,F23WHA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01054, 11.459074 ," 1,295,182 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X04TIF,,,,,,B06003,B12126,,,,,
01055, 11.459074 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X04TIF,,,,,,B06003,B12126,,,,,
01056, 13.448250 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E04006,H08126,,,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,,,
01057, 11.300738 ," 48,212 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,141SSA,,,,B06003,B12126,,,,,
01058, 10.560715 ," 51,686 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,142SSA,,,,B06003,B12126,,,,,
01059, 11.300738 ," 145,606 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,139SSA,,,,B06003,B12126,,,,,
01060, 10.560715 ," 213,828 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,138SSA,,,,B06003,B12126,,,,,
01061, 10.560715 ," 187,998 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,137SSA,,,,B06003,B12126,,,,,
01062, 11.300738 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,138SSA,,,,B06003,B12126,,,,,
01063, 11.441603 , -   ,CTYLAK,FORLAK,T01BEN,,C03532,E03003,H08126,,,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01064, 11.441603 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01065, 10.974186 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,,,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01066, 10.974186 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01067, 14.400257 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,F05BPA,L15ZBE,P20WAK,,,,,,,,,,,,B06003,B12126,,,,,
01068, 11.520905 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E01001,H08126,,M54WHA,,L15ZBE,,S05NSH,,,,,X42TIF,,,,,,B12126,,,,,,
01069, 14.558593 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,F05BPA,L15ZBE,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01070, 12.461020 ," 452,735 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,,,
01071, 10.974186 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,,P20WAK,S05NSH,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,,,
01072, 12.305108 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,S05NSH,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,,,
01073, 11.459074 ," 1,001,256 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X07TIF,,,,,,B06003,B12126,,,,,
01074, 11.459074 ," 2,108,686 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X06TIF,,,,,,B06003,B12126,,,,,
01075, 11.300738 ," 304,401 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X06TIF,,,,,,B06003,B12126,,,,,
01076, 12.146772 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,,,,,,X06TIF,,,,,,B06003,B12126,,,,,
01077, 12.305108 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,S05NSH,,,PORWAK,,X06TIF,,,,,,B06003,B12126,,,,,
01078, 10.560715 ," 3,475,557 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,,,,,B06003,B12126,,,,,
01079, 10.560715 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,138SSA,,,,B06003,B12126,,,,,
01080, 11.300738 ," 3,838,094 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,,,,,B06003,B12126,,,,,
01081, 11.300738 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,138SSA,,,,B06003,B12126,,,,,
01082, 11.300738 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,140SSA,,,,B06003,B12126,,,,,
01083, 11.300738 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,136SSA,,,,B06003,B12126,,,,,
01084, 11.756685 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E01001,H08126,,M54WHA,F23WHA,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,,,
01085, 11.300738 ," 279,490 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,143SSA,,,,B06003,B12126,,,,,
01086, 10.560715 ," 383,943 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,133SSA,,,,B06003,B12126,,,,,
01087, 10.560715 , -   ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,133SSA,138SSA,,,B06003,B12126,,,,,
01088, 11.300738 ," 139,675 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,134SSA,,,,B06003,B12126,,,,,
01089, 11.300738 ," 382,054 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,135SSA,,,,B06003,B12126,,,,,
01090, 10.560715 ," 791,674 ",CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,135SSA,,,,B06003,B12126,,,,,
