TCA, Agg Ext ,Agg Rate,CTY,FOR,TWP,RBT,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN1,SAN2,MSQ,POR,WTR,TIF,TIF,SSA1,SSA2,SSA3,SSA4,SP1,SP2,SP3,SP4,Other
01035,,10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,(From BP San)
01036,"7,380,277",9.960583,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01037,,9.729603,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01038,,11.770635,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01039,,9.889322,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01040,,11.635358,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
01041,"473,762",11.475639,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,,,,PORWAK,,,,,,,,B06003,B12126,,,
01042,"144,739",11.635358,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,
01043,,10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01044,"88,790",10.120302,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01045,,11.078993,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F23WHA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01046,,12.179414,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M54WHA,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01047,,12.019695,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M54WHA,,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
01048,"1,564,303",9.974181,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M50WAD,F23WHA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01049,,10.932872,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M50WAD,F23WHA,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
01050,,10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,136SSA,,,,B06003,B12126,,,
01051, -   ,10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,140SSA,,,,B06003,B12126,,,
01052,,12.497244,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,P20WAK,,,,,,,,136SSA,,,,B06003,B12126,,,
01053,,11.092591,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M50WAD,F23WHA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01054,"1,306,224",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X04TIF,,,,,,B06003,B12126,,,
01055,,10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X04TIF,,,,,,B06003,B12126,,,
01056, -   ,12.058067,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E04006,H08126,,,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01057,"54,528",10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,141SSA,,,,B06003,B12126,,,
01058,"53,191",9.960583,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,142SSA,,,,B06003,B12126,,,
01059,"155,929",10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,139SSA,,,,B06003,B12126,,,
01060,"219,878",9.960583,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,138SSA,,,,B06003,B12126,,,
01061,"193,218",9.960583,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,137SSA,,,,B06003,B12126,,,
01062,,10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,138SSA,,,,B06003,B12126,,,
01063,,10.805765,CTYLAK,FORLAK,T01BEN,,C03532,E03003,H08126,,,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01064, -   ,10.848013,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01065,,10.371671,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,,,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
01066,,10.371671,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
01067,,13.564154,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,F05BPA,L15ZBE,P20WAK,,,,,,,,,,,,B06003,B12126,,,
01068,,10.943906,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E01001,H08126,,M54WHA,,L15ZBE,,S05NSH,,,,,X42TIF,,,,,,B12126,,,,
01069,,13.723873,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,F05BPA,L15ZBE,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
01070,"574,063",11.770635,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01071, -   ,10.371671,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,,P20WAK,S05NSH,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,
01072, -   ,11.635358,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,S05NSH,,,PORWAK,,X07TIF,,,,,,B06003,B12126,,,
01073,"1,011,307",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X07TIF,,,,,,B06003,B12126,,,
01074,"2,214,125",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,X06TIF,,,,,,B06003,B12126,,,
01075,"286,916",10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X06TIF,,,,,,B06003,B12126,,,
01076, -   ,11.475639,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,,,,,,X06TIF,,,,,,B06003,B12126,,,
01077, -   ,11.635358,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,S05NSH,,,PORWAK,,X06TIF,,,,,,B06003,B12126,,,
01078,"3,597,657",9.960583,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,,,,,B06003,B12126,,,
01079,,9.960583,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,X07TIF,,138SSA,,,,B06003,B12126,,,
01080,"4,005,426",10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,,,,,B06003,B12126,,,
01081,,10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,138SSA,,,,B06003,B12126,,,
01082,,10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,X07TIF,,140SSA,,,,B06003,B12126,,,
